duo,name,season,number_in_season,word_count
Homer vs Bart,Homer Simpson,3,1,20
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,12
Homer vs Bart,Bart Simpson,3,1,9
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,31
Homer vs Bart,Homer Simpson,3,1,15
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,9
Homer vs Bart,Homer Simpson,3,1,10
Homer vs Bart,Homer Simpson,3,1,12
Homer vs Bart,Bart Simpson,3,1,4
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,17
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Bart Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,12
Homer vs Bart,Bart Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,16
Homer vs Bart,Homer Simpson,3,1,4
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,15
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Bart Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,14
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,27
Homer vs Bart,Homer Simpson,3,1,4
Homer vs Bart,Homer Simpson,3,1,5
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,10
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Bart Simpson,3,1,13
Homer vs Bart,Homer Simpson,3,1,15
Homer vs Bart,Homer Simpson,3,1,4
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Homer Simpson,3,1,18
Homer vs Bart,Homer Simpson,3,1,25
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,5
Homer vs Bart,Bart Simpson,3,1,6
Homer vs Bart,Bart Simpson,3,1,17
Homer vs Bart,Bart Simpson,3,1,21
Homer vs Bart,Homer Simpson,3,1,4
Homer vs Bart,Bart Simpson,3,1,32
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,6
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,17
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,4
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Homer Simpson,3,1,5
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,18
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,20
Homer vs Bart,Homer Simpson,3,1,3
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Homer Simpson,3,1,15
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Bart Simpson,3,1,9
Homer vs Bart,Homer Simpson,3,1,38
Homer vs Bart,Homer Simpson,3,1,6
Homer vs Bart,Bart Simpson,3,1,16
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Bart Simpson,3,1,11
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Homer Simpson,3,1,7
Homer vs Bart,Homer Simpson,3,1,9
Homer vs Bart,Bart Simpson,3,1,1
Homer vs Bart,Homer Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,11
Homer vs Bart,Homer Simpson,3,1,5
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,18
Homer vs Bart,Bart Simpson,3,1,4
Homer vs Bart,Bart Simpson,3,1,14
Homer vs Bart,Bart Simpson,3,1,25
Homer vs Bart,Bart Simpson,3,1,4
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,3
Homer vs Bart,Bart Simpson,3,1,18
Homer vs Bart,Bart Simpson,3,1,3
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Bart Simpson,3,1,1
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Homer Simpson,3,1,5
Homer vs Bart,Bart Simpson,3,1,14
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,14
Homer vs Bart,Bart Simpson,3,1,4
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Homer Simpson,3,2,30
Homer vs Bart,Homer Simpson,3,2,3
Homer vs Bart,Homer Simpson,3,2,5
Homer vs Bart,Homer Simpson,3,2,9
Homer vs Bart,Homer Simpson,3,2,2
Homer vs Bart,Homer Simpson,3,2,22
Homer vs Bart,Homer Simpson,3,2,15
Homer vs Bart,Homer Simpson,3,2,3
Homer vs Bart,Homer Simpson,3,2,12
Homer vs Bart,Homer Simpson,3,2,18
Homer vs Bart,Homer Simpson,3,2,4
Homer vs Bart,Homer Simpson,3,2,17
Homer vs Bart,Homer Simpson,3,2,20
Homer vs Bart,Homer Simpson,3,2,5
Homer vs Bart,Homer Simpson,3,2,27
Homer vs Bart,Homer Simpson,3,2,7
Homer vs Bart,Bart Simpson,3,2,4
Homer vs Bart,Homer Simpson,3,2,17
Homer vs Bart,Homer Simpson,3,2,20
Homer vs Bart,Homer Simpson,3,2,3
Homer vs Bart,Homer Simpson,3,2,3
Homer vs Bart,Homer Simpson,3,2,1
Homer vs Bart,Homer Simpson,3,2,10
Homer vs Bart,Homer Simpson,3,2,21
Homer vs Bart,Bart Simpson,3,2,4
Homer vs Bart,Homer Simpson,3,2,15
Homer vs Bart,Homer Simpson,3,2,16
Homer vs Bart,Bart Simpson,3,2,17
Homer vs Bart,Homer Simpson,3,2,8
Homer vs Bart,Homer Simpson,3,2,9
Homer vs Bart,Homer Simpson,3,2,3
Homer vs Bart,Homer Simpson,3,2,1
Homer vs Bart,Homer Simpson,3,2,11
Homer vs Bart,Homer Simpson,3,2,22
Homer vs Bart,Bart Simpson,3,2,2
Homer vs Bart,Bart Simpson,3,2,8
Homer vs Bart,Homer Simpson,3,2,4
Homer vs Bart,Homer Simpson,3,2,12
Homer vs Bart,Homer Simpson,3,2,1
Homer vs Bart,Homer Simpson,3,2,9
Homer vs Bart,Homer Simpson,3,2,18
Homer vs Bart,Bart Simpson,3,2,5
Homer vs Bart,Bart Simpson,3,2,7
Homer vs Bart,Bart Simpson,3,2,11
Homer vs Bart,Bart Simpson,3,2,7
Homer vs Bart,Bart Simpson,3,2,1
Homer vs Bart,Bart Simpson,3,2,1
Homer vs Bart,Homer Simpson,3,2,4
Homer vs Bart,Bart Simpson,3,2,7
Homer vs Bart,Homer Simpson,3,2,5
Homer vs Bart,Bart Simpson,3,2,2
Homer vs Bart,Homer Simpson,3,2,2
Homer vs Bart,Homer Simpson,3,2,22
Homer vs Bart,Homer Simpson,3,2,7
